,down,yard,position,percent_run,aggression,epa
468,2.0,10.0,80.0,0.25,0.0,4.21
469,2.0,10.0,80.0,0.25,1.0,4.23
470,2.0,10.0,80.0,0.25,2.0,4.66
471,2.0,10.0,80.0,0.5,0.0,4.92
472,2.0,10.0,80.0,0.5,1.0,5.15
473,2.0,10.0,80.0,0.5,2.0,2.52
474,2.0,10.0,80.0,0.75,0.0,4.55
475,2.0,10.0,80.0,0.75,1.0,4.69
476,2.0,10.0,80.0,0.75,2.0,3.73
477,2.0,10.0,90.0,0.25,0.0,4.99
478,2.0,10.0,90.0,0.25,1.0,5.41
479,2.0,10.0,90.0,0.25,2.0,4.06
480,2.0,10.0,90.0,0.5,0.0,5.36
481,2.0,10.0,90.0,0.5,1.0,5.27
482,2.0,10.0,90.0,0.5,2.0,4.93
483,2.0,10.0,90.0,0.75,0.0,5.24
484,2.0,10.0,90.0,0.75,1.0,4.84
485,2.0,10.0,90.0,0.75,2.0,4.25
486,3.0,2.0,10.0,0.25,0.0,-0.09
487,3.0,2.0,10.0,0.25,1.0,-0.26
488,3.0,2.0,10.0,0.25,2.0,-0.78
489,3.0,2.0,10.0,0.5,0.0,-0.66
490,3.0,2.0,10.0,0.5,1.0,-1.7
491,3.0,2.0,10.0,0.5,2.0,0.56
492,3.0,2.0,10.0,0.75,0.0,-1.1
493,3.0,2.0,10.0,0.75,1.0,-1.59
494,3.0,2.0,10.0,0.75,2.0,0.29
495,3.0,2.0,20.0,0.25,0.0,-0.42
496,3.0,2.0,20.0,0.25,1.0,-0.16
497,3.0,2.0,20.0,0.25,2.0,0.66
498,3.0,2.0,20.0,0.5,0.0,0.15
499,3.0,2.0,20.0,0.5,1.0,0.01
500,3.0,2.0,20.0,0.5,2.0,-0.46
501,3.0,2.0,20.0,0.75,0.0,1.46
502,3.0,2.0,20.0,0.75,1.0,-0.53
503,3.0,2.0,20.0,0.75,2.0,0.7
504,3.0,2.0,30.0,0.25,0.0,-0.09
505,3.0,2.0,30.0,0.25,1.0,0.64
506,3.0,2.0,30.0,0.25,2.0,0.7
507,3.0,2.0,30.0,0.5,0.0,0.67
508,3.0,2.0,30.0,0.5,1.0,0.71
509,3.0,2.0,30.0,0.5,2.0,0.56
510,3.0,2.0,30.0,0.75,0.0,0.09
511,3.0,2.0,30.0,0.75,1.0,0.7
512,3.0,2.0,30.0,0.75,2.0,1.17
513,3.0,2.0,40.0,0.25,0.0,1.97
514,3.0,2.0,40.0,0.25,1.0,1.83
515,3.0,2.0,40.0,0.25,2.0,1.63
516,3.0,2.0,40.0,0.5,0.0,0.99
517,3.0,2.0,40.0,0.5,1.0,2.54
518,3.0,2.0,40.0,0.5,2.0,1.41
519,3.0,2.0,40.0,0.75,0.0,1.67
520,3.0,2.0,40.0,0.75,1.0,2.35
521,3.0,2.0,40.0,0.75,2.0,1.96
522,3.0,2.0,50.0,0.25,0.0,1.89
523,3.0,2.0,50.0,0.25,1.0,3.29
